energy_MeV,Total_Edep,Sim_dEdx,Dose_Gy,Beta,Gamma,NIST_dEdx,NIST_Range
70,104915.62915,1.049156,0.0,0.366103,1.074605,0.958449,57.420342
100,78839.838257,0.788398,0.0,0.428195,1.106579,0.730422,93.165319
150,59020.203613,0.590202,0.0,0.506624,1.159868,0.590118,169.178835
200,49882.459564,0.498825,0.0,0.56616,1.213158,0.449813,265.929062
250,43346.409393,0.433464,0.0,0.613608,1.266447,0.420589,380.861552
300,39098.796661,0.390988,0.0,0.652572,1.319737,0.391366,504.074348
500,31608.967957,0.31609,0.0,0.757909,1.532894,0.274471,1111.111021
750,28256.528961,0.282565,0.0,0.831344,1.799342,0.247361,2070.13649
1000,28009.721786,0.280097,0.0,0.875026,2.065789,0.220252,3140.598653
1500,25324.097717,0.253241,0.0,0.922996,2.598683,0.21038,5463.172116
2000,24506.129791,0.245061,0.0,0.947644,3.131578,0.200508,7897.389426
3000,23940.151825,0.239402,0.0,0.971205,4.197367,0.200849,12880.49192
4500,26642.333679,0.266423,0.0,0.985004,5.79605,0.201361,20339.304718
6000,30979.636368,0.309796,0.0,0.990814,7.394734,0.201872,27779.167206
